name,id,nodeCount,list
西安中学,129_01_02_01_04_XAZX,5,108.937982;34.332597|108.944743;34.332597|108.937982;34.326981|108.944743;34.326981
紫铭小区,129_01_02_02_01_026,5,109.017613;34.271183|109.024374;34.271183|109.017613;34.265567|109.024374;34.265567
朝阳天下（朝阳小区）,129_01_02_02_01_027,5,109.003643;34.245977|109.010404;34.245977|109.003643;34.240361|109.010404;34.240361
北张家园小区,129_01_02_02_01_0424,5,109.000275;34.280112|109.001275;34.280112|109.000275;34.281112|109.001275;34.281112
第四军医大学,129_01_02_01_01_FMMU,4,108.977287;34.272704|108.984048;34.272704|108.977287;34.267088|108.984048;34.267088
西安工程大学教学区,129_01_02_01_02_0030_JX1,4,108.993587;34.258879|108.94341;34.258879|108.993587;34.28228|108.94341;34.28228
金玉人家4号楼,129_01_02_02_01_0665,4,108.98873;34.2685|108.98973;34.2685|108.98873;34.2695|108.98973;34.2695
新兴骏景园,129_01_02_02_01_082,4,108.99342;34.28475|109.000181;34.28475|108.99342;34.279134|109.000181;34.279134
西北电网综合楼及地下车库,129_01_02_05_01_059,4,108.9695;34.2761|108.976261;34.2761|108.9695;34.270484|108.976261;34.270484
工行东大街支行北楼,129_01_02_05_02_2404,4,108.95649;34.26135|108.95749;34.26135|108.95649;34.26235|108.95749;34.26235
工行东大街支行南楼,129_01_02_05_02_2405,4,108.95649;34.26135|108.95749;34.26135|108.95649;34.26235|108.95749;34.26235
热工研究院,129_01_02_05_02_2860,4,108.99851;34.21979|108.99951;34.21979|108.99851;34.22079|108.99951;34.22079
陕西省第四人民医院,129_01_02_05_04_008,4,109.02478;34.256102|109.031541;34.256102|109.02478;34.250486|109.031541;34.250486
西京医院门诊楼,129_01_02_05_04_030,4,108.983298;34.27217|108.990059;34.27217|108.983298;34.266554|108.990059;34.266554
第四军医大学西京医院,129_01_02_05_04_034,4,108.983429;34.272134|108.99019;34.272134|108.983429;34.266518|108.99019;34.266518
西京医院骨科楼,129_01_02_05_04_035,4,108.9813;34.27228|108.988061;34.27228|108.9813;34.266664|108.988061;34.266664
西京医院心血管楼,129_01_02_05_04_038,4,108.9813;34.27228|108.988061;34.27228|108.9813;34.266664|108.988061;34.266664
西京医院住院三部,129_01_02_05_04_041,4,108.981157;34.273121|108.987918;34.273121|108.981157;34.267505|108.987918;34.267505
西京医院住院四部,129_01_02_05_04_050,4,108.981152;34.273125|108.987913;34.273125|108.981152;34.267509|108.987913;34.267509
西京医院消化大楼,129_01_02_05_04_053,4,108.9813;34.27228|108.988061;34.27228|108.9813;34.266664|108.988061;34.266664
交大二附院干部楼,129_01_02_05_04_057,4,108.94687;34.27228|108.953631;34.27228|108.94687;34.266664|108.953631;34.266664
交大二附院新大楼（门诊楼）,129_01_02_05_04_066,4,108.94508;34.27261|108.951841;34.27261|108.94508;34.266994|108.951841;34.266994
